# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
asu	current	
asv	current	
asw	current	
asx	current	
asy	current	
asz	current	
ata	current	
atb	current	
atc	current	
atd	current	
ate	current	
atf	retired	
atg	current	
ati	current	
atj	current	
atk	current	
atl	current	
atm	current	
atn	current	
ato	current	
atp	current	
atq	current	
atr	current	
ats	current	
att	current	
atu	current	
atv	current	
atw	current	
atx	current	
aty	current	
atz	current	
aua	current	
aub	current	
auc	current	
aud	current	
aue	retired	ktz
aug	current	
auh	current	
aui	current	
auj	current	
auk	current	
aul	current	
aum	current	
aun	current	
auo	current	
aup	current	
auq	current	
aur	current	
aut	current	
auu	current	
auv	retired	oci
auw	current	
aux	current	
auy	current	
auz	current	
ava	current	
avb	current	
avd	current	
ave	current	
avi	current	
avk	current	
avl	current	
avm	current	
avn	current	
avo	current	
avs	current	
avt	current	
avu	current	
avv	current	
awa	current	
awb	current	
awc	current	
awe	current	
awg	current	
awh	current	
awi	current	
awk	current	
awm	current	
awn	current	
awo	current	
awr	current	
aws	current	
awt	current	
awu	current	
awv	current	
aww	current	
awx	current	
awy	current	
axb	current	
axe	current	
axg	current	
axk	current	
axl	current	
axm	current	
axx	current	
aya	current	
ayb	current	
ayc	current	
ayd	current	
aye	current	
ayg	current	
ayh	current	
ayi	current	
ayk	current	
ayl	current	
aym	current	
ayn	current	
ayo	current	
ayp	current	
ayq	current	
ayr	current	
ays	current	
ayt	current	
ayu	current	
ayx	retired	nun
ayy	retired	
ayz	current	
aza	current	
azb	current	
azd	current	
aze	current	
azg	current	
azj	current	
azm	current	
azn	current	
azo	current	
azr	retired	
azt	current	
azz	current	
baa	current	
bab	current	
bac	current	
bae	current	
baf	current	
bag	current	
bah	current	
baj	current	
bak	current	
bal	current	
bam	current	
ban	current	
bao	current	
bap	current	
bar	current	
bas	current	
bau	current	
bav	current	
baw	current	
bax	current	
bay	current	
baz	retired	
bba	current	
bbb	current	
bbc	current	
bbd	current	
bbe	current	
bbf	current	
bbg	current	
bbh	current	
bbi	current	
bbj	current	
bbk	current	
bbl	current	
bbm	current	
bbn	current	
bbo	current	
bbp	current	
bbq	current	
bbr	current	
bbs	current	
bbt	current	
bbu	current	
bbv	current	
bbw	current	
bbx	current	
bby	current	
bbz	retired	
bca	current	
bcb	current	
bcc	current	
bcd	current	
bce	current	
bcf	current	
bcg	current	
bch	current	
bci	current	
bcj	current	
bck	current	
bcl	current	
bcm	current	
bcn	current	
bco	current	
bcp	current	
bcq	current	
bcr	current	
bcs	current	
bct	current	
bcu	current	
bcv	current	
bcw	current	
bcx	retired	
bcy	current	
bcz	current	
bda	current	
bdb	current	
bdc	current	
bdd	current	
bde	current	
bdf	current	
bdg	current	
bdh	current	
bdi	current	
bdj	current	
bdk	current	
bdl	current	
bdm	current	
bdn	current	
bdo	current	
bdp	current	
bdq	current	
bdr	current	
bds	current	
bdt	current	
bdu	current	
bdv	current	
bdw	current	
bdx	current	
bdy	current	
bdz	current	
bea	current	
beb	current	
bec	current	
bed	current	
bee	current	
bef	current	
beg	current	
beh	current	
bei	current	
bej	current	
bek	current	
bel	current	
bem	current	
ben	current	
beo	current	
bep	current	
beq	current	
bes	current	
bet	current	
beu	current	
bev	current	
bew	current	
bex	current	
bey	current	
bez	current	
bfa	current	
bfb	current	
bfc	current	
bfd	current	
bfe	current	
bff	current	
bfg	current	
bfh	current	
bfi	current	
bfj	current	
bfk	current	
bfl	current	
bfm	current	
bfn	current	
bfo	current	
bfp	current	
bfq	current	
bfr	current	
bfs	current	
bft	current	
bfu	current	
bfw	current	
bfx	current	
bfy	current	
bfz	current	
bga	current	
bgb	current	
bgc	current	
bgd	current	
bge	current	
bgf	current	
bgg	current	
bgh	retired	bbh
bgi	current	
bgj	current	
bgk	current	
bgl	current	
bgm	retired	bcg
bgn	current	
bgo	current	
bgp	current	
bgq	current	
bgr	current	
bgs	current	
bgt	current	
bgu	current	
bgv	current	
bgw	current	
bgx	current	
bgy	current	
bgz	current	
bha	current	
bhb	current	
bhc	current	
bhd	current	
bhe	current	
bhf	current	
bhg	current	
bhh	current	
bhi	current	
bhj	current	
bhk	retired	
bhl	current	
bhm	current	
bhn	current	
bho	current	
bhp	current	
